slip,torque_nm,current_a,absorbed_power_w,efficiency,power_factor
0.001,76.24879656908527,25.771317185504795,25084.25560473201,0.9539972812356894,0.9773185215490927
0.004341137123745819,308.5911410951764,103.16837870815371,99357.92226019334,0.9714968346889309,0.9670021137559184
0.0076822742474916385,485.8512837486285,171.16141917431926,157462.74428265556,0.9618916625421532,0.9237266327431962
0.011023411371237458,601.2194150593035,227.36568706247022,196617.54020217757,0.9500503490533881,0.8682981242187533
0.014364548494983278,664.2880319166225,272.1989675838149,219346.28764979236,0.9377613475672176,0.8091244835859179
0.017705685618729098,689.854722528948,307.3733407862975,230034.49672327648,0.9254568526892627,0.7514469043119485
0.021046822742474918,691.2409521161031,334.8793569972515,232773.58249733734,0.9132876018973172,0.6979379949796397
0.024387959866220738,678.2433997951962,356.49787802369286,230640.54076800108,0.9013157342353527,0.649606297489946
0.027729096989966555,657.3643035827437,373.65659484466084,225716.82097922792,0.889568413593895,0.6065446846393017
0.031070234113712375,632.6718943539175,387.4431307491409,219330.0117377972,0.8780568807695726,0.5684098882189386
0.034411371237458195,606.6121351702551,398.66771784959775,212296.10268307797,0.8667844028510265,0.5346905141001758
0.037752508361204015,580.6046101442945,407.92969720297384,205102.1612580703,0.8557499915311423,0.5048431195509596
0.041093645484949835,555.4378703574248,415.67302668977266,198029.7291573774,0.8449502969699751,0.47835473555428565
0.044434782608695655,531.5194784336687,422.22856318244635,191234.02809355315,0.8343806374844217,0.45476715580753097
0.047775919732441476,509.03046554529067,427.84499488765437,184793.56329610187,0.8240355885070935,0.4336825141911598
0.05111705685618729,488.0196197564738,432.71108672373873,178740.82838228214,0.8139093329611006,0.41476038761560685
0.05445819397993311,468.4606683757914,436.9715980351305,173081.20922723692,0.8039958760034852,0.3977115822046885
0.057799331103678936,450.2867750950003,440.73869104427393,167804.5863682841,0.7942891794684172,0.38229109084207097
0.06114046822742475,433.41120697135227,444.1001516131709,162892.43143833007,0.78478324712864,0.3682913446173574
0.06448160535117058,417.73957187097227,447.12535759757117,158322.12111149955,0.7754721789685027,0.3555362006540911
0.06782274247491639,403.1769173435985,449.8696495041727,154069.52997194068,0.7663502054667368,0.3438757821100374
0.0711638795986622,389.631700563253,452.3775606330331,150110.55752104463,0.7574117087331217,0.33318213862621887
0.07450501672240803,377.0178605073001,454.6852267185725,146421.99538406855,0.7486512348670611,0.3233456369857925
0.07784615384615384,365.25574901972317,456.82220024395224,142981.98745085322,0.7400635003878642,0.3142719760076157
0.08118729096989967,354.27238676115155,458.81282896788065,139770.24085354627,0.7316433946320273,0.30587972333055935
0.0845284280936455,344.00133110487826,460.6773125889307,136768.08669235258,0.7233859793991538,0.2980982830981031
0.08786956521739131,334.3823323278403,462.4325195805009,133958.4525111896,0.7152864867256677,0.2908662170164339
0.09121070234113712,325.3608856769996,464.0926237712345,131325.78531086651,0.7073403153967138,0.28412985428432874
0.09455183946488295,316.88774406610736,465.6696043067954,128855.94922370148,0.6995430266242713,0.277842137459276
0.09789297658862876,308.91842947363034,467.1736412248006,126536.11268358395,0.6918903391939855,0.27196166115039555
0.10123411371237458,301.41276452209286,468.6134306479512,124354.63403336379,0.6843781242956561,0.2664518685703035
0.1045752508361204,294.3344354655214,469.9964376170166,122300.95077906022,0.6770024001906284,0.2612803776258316
0.10791638795986622,287.6505915463181,471.3291001983969,120365.47534661448,0.6697593268253234,0.2564184136095265
0.11125752508361203,281.3314819290073,472.6169952591256,118539.49872571781,0.6626452004685518,0.25184032989085076
0.11459866220735787,275.35012924295546,473.86497388813547,116815.1024798136,0.6556564484273846,0.24752320149346216
0.1179397993311037,269.68203757778406,475.07727263160194,115185.07905830594,0.6487896238796735,0.24344647924807494
0.1212809364548495,264.30493219787525,476.2576053418454,113642.86003523879,0.6420414008491351,0.23959169446517856
0.12462207357859532,259.19852803711495,477.4092393982199,112182.45173352539,0.6354085693399472,0.2359422058884347
0.12796321070234115,254.3443240501271,478.5350592611142,110798.37762039168,0.6288880306412334,0.23248298215619728
0.13130434782608696,249.72542063589697,479.6376197056271,109485.62684258593,0.6224767928069574,0.22920041418572695
0.13464548494983278,245.32635755386045,480.719190604879,108239.60828623328,0.6161719663132216,0.2260821528582725
0.13798662207357862,241.13296998416558,481.7817947610975,107056.10958130923,0.6099707598923445,0.22311696816772414
